name,dosage,forme,presentation,price,remboursement,dci,type,prescription_required
SERVAL,100 mg,Gelules,B/30,39.61,31.518,SERTRALINE,Antidépresseurs,true
SERVAL,25 mg,Gelules,B/30,11.425,9.69,SERTRALINE,Antidépresseurs,true
SERVAL,50 mg,Gelules,B/30,20.865,17.723,SERTRALINE,Antidépresseurs,true
SEVIKAR,20 mg/5 mg,Comprimes pellicules,B/30,57.08,48.501,AMLODIPINE+OLMESARTAN,Antihypertenseurs,true
SEVIKAR,40 mg/10 mg,Comprimes pellicules,B/30,57.08,48.501,AMLODIPINE+OLMESARTAN,Antihypertenseurs,true
SEVIKAR,40 mg/5 mg,Comprimes pellicules,B/30,57.08,48.501,AMLODIPINE+OLMESARTAN,Antihypertenseurs,true
SICCAFLUID,"0,25%",Gel ophtalmique,FL/10 g,5.542,4.709,CARBOMERE,Autres,false
SIFLOKS,500 mg,Comprimes pellicules secables,B/14,14.615,7.783,CIPROFLOXACINE,Antibiotiques,true
SIFLOKS,500 mg,Comprimes pellicules secables,B/28,20.445,15.565,CIPROFLOXACINE,Antibiotiques,true
SIFROL,"0,18 mg",Comprimes,B/100,69.45,41.82,PRAMIPEXOLE,Autres,true
SIFROL,"0,18 mg",Comprimes,B/30,21.547,12.546,PRAMIPEXOLE,Autres,true
SIFROL,"0,7 mg",Comprimes,B/100,276.925,235.365,PRAMIPEXOLE,Autres,true
SINAPRID,"0,50%",Solution buvable,FL/150 ml,4.025,1.785,SULPIRIDE,Antipsychotiques,true
SINAPRID,200 mg,Comprimes secables,B/10,7.435,6.315,SULPIRIDE,Antipsychotiques,true
SINAPRID,50 mg,Gelules,B/30,7.06,3.647,SULPIRIDE,Antipsychotiques,true
SINGULAIR,10 mg,Comprimes pellicules,B/28,57.035,29.012,MONTELUKAST,Bronchodilatateurs,true
SINGULAIR,4 mg,Granules à liberation prolongee,B/28 sachets,48.785,32.701,MONTELUKAST,Bronchodilatateurs,true
SINGULAIR,5 mg,Comprimes à croquer,B/28,37.24,29.012,MONTELUKAST,Bronchodilatateurs,true
SINOCORT,50 µg/dose,Suspension nasale,FL/12 ml,13.01,11.016,MOMETASONE,Corticoïdes,true
SINTROM,4 mg,Comprimes,FL/60,4.928,4.182,ACENOCOUMAROL,Anticoagulants,true
